id_asign_espacio_fisico;id_atributos_espacio_fisico;id_horario_espacio;id_persona;id_solicitante;id_evento
1;25;2;1522;1;1
2;25;1;1522;2;7
3;25;2;10874;2;7
4;25;3;1522;2;7
5;25;4;10874;2;7
6;25;6;10874;4;1
7;25;8;1522;4;1
8;25;10;10874;4;1
9;25;31;1522;5;2
10;25;27;1522;5;2
11;25;1;1522;6;3
12;25;3;1522;6;3
13;25;4;1522;6;3
14;25;23;1522;7;2
15;25;6;1522;8;11
16;25;6;10874;8;10
17;25;6;10874;8;6
18;25;6;1522;8;4
19;25;4;1522;8;11
20;25;4;10874;8;10
21;25;4;1522;8;6
22;25;4;1522;8;4
23;25;11;10874;9;11
24;25;11;10874;9;10
25;25;11;10874;9;6
26;25;11;10874;9;4
27;25;12;1522;9;11
28;25;12;1522;9;10
29;25;12;1522;9;6
30;25;12;1522;9;4
31;25;13;10874;9;11
32;25;13;10874;9;10
33;25;13;1522;9;6
34;25;13;1522;9;4
35;25;14;1522;9;11
36;25;14;1522;9;10
37;25;14;1522;9;6
38;25;14;1522;9;4
39;25;7;10874;10;11
40;25;7;1522;10;10
41;25;7;1522;10;6
42;25;7;1522;10;4
43;25;8;10874;10;11
44;25;8;10874;10;10
45;25;8;1522;10;6
46;25;8;1522;10;4
47;25;9;1522;10;11
48;25;9;10874;10;10
49;25;9;1522;10;6
50;25;9;1522;10;4
51;25;4;1522;10;1
52;25;5;10874;10;11
53;25;5;10874;10;10
54;25;5;1522;10;6
55;25;5;1522;10;4
56;25;2;1522;11;3
57;25;7;1522;11;1
58;25;1;1522;11;1
59;25;3;10874;11;1
60;25;9;10874;11;1
61;25;5;1522;11;1
79;226;12;1522;55;73
80;226;13;1522;55;73
81;226;14;1522;55;73
